OrderId,IssueDate,CreationDateTime
LA0450738QBXL,2025-01-14T22:25:00,2025-01-14T22:24:30.482
LA0451560QOPF,2025-01-14T22:24:00,2025-01-14T22:23:41.86
LA0459266UPSC,2025-01-14T22:23:00,2025-01-14T22:22:52.436
LA0452808AKOT,2025-01-14T22:22:00,2025-01-14T22:22:06.488
LA0453526JMSD,2025-01-14T22:21:00,2025-01-14T22:20:52.287
LA0453933PBFM,2025-01-14T22:20:00,2025-01-14T22:19:38.785
LA0455024UFCO,2025-01-14T22:19:00,2025-01-14T22:18:32.718
LA0452017LSZW,2025-01-14T22:18:00,2025-01-14T22:17:46.014
LA0451997JGHJ,2025-01-14T22:17:00,2025-01-14T22:16:59.88
LA0455831AGSS,2025-01-14T22:16:00,2025-01-14T22:16:10.132
LA0453868VJRK,2025-01-14T22:14:00,2025-01-14T22:14:30.36
LA0457593KPFV,2025-01-14T22:14:00,2025-01-14T22:13:54.39
LA0454275LTJI,2025-01-14T22:13:00,2025-01-14T22:12:56.907
LA0450392LGAF,2025-01-14T22:12:00,2025-01-14T22:11:52.957
LA0454477WSUZ,2025-01-14T22:11:00,2025-01-14T22:11:02.164
LA0450227NTYA,2025-01-14T22:10:00,2025-01-14T22:10:16.01
LA0451993ZUSL,2025-01-14T22:09:00,2025-01-14T22:09:28.994
LA0456713BXIL,2025-01-14T22:09:00,2025-01-14T22:08:35.862
LA0456690TIDV,2025-01-14T22:08:00,2025-01-14T22:07:49.022
LA0455320QZIA,2025-01-14T22:07:00,2025-01-14T22:07:09.814
LA0452997XOGW,2025-01-14T22:06:00,2025-01-14T22:06:24.042
LA0457036HUWM,2025-01-14T21:57:00,2025-01-14T21:56:53.006
LA0452119EHTY,2025-01-14T21:56:00,2025-01-14T21:56:18.559
LA0454854PUWM,2025-01-14T21:56:00,2025-01-14T21:56:13.735
LA0450175UBEJ,2025-01-14T21:55:00,2025-01-14T21:54:51.131
LA0454038QVUX,2025-01-14T21:55:00,2025-01-14T21:54:52.811
LA0455267QAZD,2025-01-14T21:55:00,2025-01-14T21:55:34.587
LA0457227WJUE,2025-01-14T21:55:00,2025-01-14T21:55:32.21
LA0450534NJLF,2025-01-14T21:54:00,2025-01-14T21:53:57.118
LA0459653WOWH,2025-01-14T21:54:00,2025-01-14T21:54:16.764
